ID,LABEL,RTN5,FIVE_DAY_GL,CLOSE,RSI2,RSI_CLOSE_3,PERCENT_RANK_100,RSI_STREAK_2,CRSI
2015-09-16:SPY,UP,2.76708,-3.28704,200.18,91.5775,81.572,84,73.2035,79.5918
2015-09-15:SPY,UP,0.521704,-2.29265,198.46,83.4467,72.9477,92,60.6273,75.1917
2015-09-14:SPY,DN,1.77579,0.22958,196.01,47.0239,51.3076,31,25.807,36.0382
2015-09-11:SPY,UP,0.60854,-0.655688,196.74,69.9559,61.0005,76,76.643,71.2145
2015-09-10:SPY,UP,0.225168,1.98111,195.85,57.2462,53.9258,79,65.2266,66.0508
2015-09-09:SPY,DN,1.5748,2.76708,194.79,42.8488,46.1728,7,31.9797,28.3842
2015-09-08:SPY,UP,-0.121414,0.521704,197.43,73.7949,64.0751,98,61.2696,74.4483
2015-09-04:SPY,DN,-3.35709,1.77579,192.59,22.4626,31.7166,6,28.549,22.0886
2015-09-03:SPY,UP,-1.86681,0.60854,195.55,56.0153,50.1242,57,77.9225,61.6822
2015-09-02:SPY,UP,0.374974,0.225168,195.41,54.4047,49.1944,97,68.9819,71.7254
2015-09-01:SPY,DN,2.40295,1.5748,191.77,12.981,24.9421,2,20.9842,15.9754
2015-08-31:SPY,DN,4.28383,-0.121414,197.67,49.2245,51.5145,15,28.2768,31.5971
2015-08-28:SPY,UP,0.834893,-3.35709,199.28,79.516,63.8989,51,92.729,69.2093
2015-08-27:SPY,UP,-2.30426,-1.86681,199.27,79.4768,63.8629,98,89.832,83.8983
2015-08-26:SPY,UP,-6.54762,0.374974,194.68,63.3882,48.0105,99,87.3024,78.1043
2015-08-25:SPY,DN,-10.8153,2.40295,187.27,0.302691,1.51155,5,1.77423,2.76193
2015-08-24:SPY,DN,-9.99098,4.28383,189.55,0.411875,1.85117,0,3.41939,1.75686
2015-08-21:SPY,DN,-5.62983,0.834893,197.63,1.14143,3.94571,0,6.375,3.44024
2015-08-20:SPY,DN,-2.24768,-2.30426,203.97,3.74155,9.66778,1,11.2272,7.29834
2015-08-19:SPY,DN,-0.287191,-6.54762,208.32,17.1216,28.7169,12,18.125,19.614
2015-08-18:SPY,DN,0.627785,-10.8153,209.98,53.8979,57.5806,29,26.1615,37.5807
2015-08-17:SPY,UP,0.00949803,-9.99098,210.59,89.0362,76.3903,82,78.1155,78.8353
2015-08-14:SPY,UP,0.706901,-5.62983,209.42,70.7457,59.454,74,67.2886,66.9142
2015-08-13:SPY,DN,0.148788,-2.24768,208.66,36.1505,41.1826,40,35.2596,38.8141
2015-08-12:SPY,UP,-0.547437,-0.287191,208.92,45.3174,45.9,57,69.0781,57.326
2015-08-11:SPY,DN,-0.339096,0.627785,208.67,37.7255,41.6127,9,40.5847,30.3991
2015-08-10:SPY,UP,0.3718,0.00949803,210.57,79.8558,69.5311,98,75.2588,80.93
2015-08-07:SPY,DN,-1.2114,0.706901,207.95,12.4251,20.495,37,31.1266,29.5405
2015-08-06:SPY,DN,-1.17162,0.148788,208.35,16.6897,24.5098,11,44.2953,26.6017
2015-08-05:SPY,UP,-0.332116,-0.547437,210.07,63.6882,55.9022,70,76.7771,67.5598
2015-08-04:SPY,DN,0.0238857,-0.339096,209.38,16.5555,32.9268,36,12.9243,27.2837
2015-08-03:SPY,DN,1.45075,0.3718,209.79,26.9475,41.4899,28,19.6926,29.7275
2015-07-31:SPY,DN,1.20192,-1.2114,210.5,59.0307,59.2914,39,26.678,41.6565
2015-07-30:SPY,UP,0.304501,-1.17162,210.82,80.6761,68.0664,51,91.8171,70.2945
2015-07-29:SPY,UP,-0.283862,-0.332116,210.77,80.1062,67.5664,83,88.2225,79.5963
2015-07-28:SPY,UP,-1.14286,0.0238857,209.33,65.4212,53.6245,95,84.9076,77.844
2015-07-27:SPY,DN,-2.72826,1.45075,206.79,0.914775,6.22014,18,3.01231,9.07748
2015-07-24:SPY,DN,-2.10843,1.20192,208,1.64628,9.20999,8,5.49879,7.56959
2015-07-23:SPY,DN,-0.998587,0.304501,210.18,5.88708,21.7903,17,9.36317,16.0512
2015-07-22:SPY,DN,0.360857,-0.283862,211.37,19.8269,43.3281,38,14.4356,31.9212
2015-07-21:SPY,DN,0.507879,-1.14286,211.75,31.8794,54.8747,27,19.7985,33.891
2015-07-20:SPY,UP,1.34433,-2.72826,212.59,97.1547,90.3623,51,77.0379,72.8001
2015-07-17:SPY,UP,2.40987,-2.10843,212.48,96.7142,89.7857,53,64.0437,68.9431
2015-07-16:SPY,UP,3.61152,-0.998587,212.3,96.2376,89.0723,86,49.8554,74.9759
2015-07-15:SPY,DN,2.97267,0.360857,210.61,88.2086,80.5864,46,17.1713,47.9192
2015-07-14:SPY,UP,1.27872,0.507879,210.68,92.2873,82.3523,74,92.6905,83.0143
2015-07-13:SPY,UP,1.47543,1.34433,209.77,88.9731,78.215,92,86.952,85.7223
2015-07-10:SPY,UP,0.0820028,2.40987,207.48,75.9936,64.0921,96,78.5204,79.5375
2015-07-09:SPY,UP,-1.25301,3.61152,204.9,28.749,30.015,59,68.2679,52.4276
2015-07-08:SPY,DN,-0.641244,2.97267,204.53,17.0423,23.0314,1,39.2901,21.1072
2015-07-07:SPY,UP,1.2657,1.27872,208.02,75.7047,61.827,84,72.3041,72.7104
2015-07-06:SPY,DN,-1.47746,1.47543,206.72,32.3078,34.3768,31,25.1066,30.1611
2015-07-02:SPY,DN,-1.2151,0.0820028,207.31,54.3296,43.9361,41,35.0662,40.0008
2015-07-01:SPY,UP,-1.42518,-1.25301,207.5,61.0276,46.7257,86,86.5916,73.1057
2015-06-30:SPY,UP,-2.91926,-0.641244,205.85,16.1323,15.7615,61,82.2429,53.0015
2015-06-29:SPY,DN,-3.05347,1.2657,205.42,1.31977,6.29968,0,6.14711,4.14893
2015-06-26:SPY,DN,-0.469617,-1.47746,209.82,13.6941,26.948,48,10.7568,28.5683
2015-06-25:SPY,DN,-1.37231,-1.2151,209.86,14.3037,27.4942,29,17.2095,24.5679
2015-06-24:SPY,DN,-0.0427371,-1.42518,210.5,22.2151,35.0773,11,24.5828,23.5534
2015-06-23:SPY,UP,0.851367,-2.91926,212.04,66.404,62.9129,52,68.7939,61.2356
2015-06-22:SPY,UP,1.32944,-3.05347,211.89,62.8004,60.8981,77,55.4362,64.4448
2015-06-19:SPY,DN,0.380934,-0.469617,210.81,39.3993,47.1039,9,22.0849,26.0629
2015-06-18:SPY,UP,0.543401,-1.37231,212.78,92.4288,82.4922,88,87.7765,86.0896
2015-06-17:SPY,UP,-0.170657,-0.0427371,210.59,69.94,60.4981,56,80.5416,65.6799
2015-06-16:SPY,UP,0.863516,0.851367,210.25,60.9322,54.5943,79,72.3626,68.6523
2015-06-15:SPY,DN,0.302187,1.32944,209.11,21.4912,31.8154,22,25.2022,26.3392
2015-06-12:SPY,DN,0.114411,0.380934,210.01,35.7297,43.2298,12,35.2183,30.1493
2015-06-11:SPY,UP,0.713844,0.543401,211.63,88.5005,75.9114,68,87.204,77.0385
2015-06-10:SPY,UP,-0.45772,-0.170657,210.95,83.3346,69.448,90,83.0288,80.8256
2015-06-09:SPY,DN,-1.3768,0.863516,208.45,4.34343,10.7591,48,7.90303,22.2207
2015-06-08:SPY,DN,-1.46051,0.302187,208.48,4.47057,10.927,14,14.18,13.0357
2015-06-05:SPY,DN,-0.648859,0.114411,209.77,12.0609,19.7743,39,23.5208,27.4317
2015-06-04:SPY,DN,-1.09668,0.713844,210.13,15.8054,23.2813,12,35.0722,23.4512
2015-06-03:SPY,UP,-0.366714,-0.45772,211.92,69.2736,56.4928,63,68.9201,62.8043
2015-06-02:SPY,DN,0.313242,-1.3768,211.36,34.7398,38.0658,43,39.937,40.3343
2015-06-01:SPY,UP,-0.666698,-1.46051,211.57,44.0153,42.5737,56,74.8258,57.7998
2015-05-29:SPY,DN,-1.10539,-0.648859,211.14,22.9545,31.5002,15,26.9897,24.4966
2015-05-28:SPY,DN,-0.197294,-1.09668,212.46,54.3181,52.0346,43,39.4991,44.8446
2015-05-27:SPY,UP,-0.154908,-0.366714,212.7,62.022,56.499,83,73.6221,71.0403
